link,name,price,sales,stars,rec_proc,review_num,OS,RAM,ROM,diag,bat,cam
https://www.joom.ru/ru/products/66b1ed4d9d659d0148384495,"VIVO X100 Ultra 5G Смартфон 6,78 дюйма AMOLED изогнутый э… Ещё",99 888 ₽,,,,,Android 14,12 ГБ,256 ГБ,"6,78""",5 500 мА·ч,
https://www.joom.ru/ru/products/66b331016076a0019cd7ee3c,Версия CN Xiaomi 14 Ultra 5G Смартфон 6.73 дюйма 2K AMOLED 120 Гц Эк… Ещё,95 103 ₽,,,,,Android 14,12 ГБ,256 ГБ,"6,73""",5 300 мА·ч,
https://www.joom.ru/ru/products/66b2db8e163a530195fd85ae,OPPO Найти N3 Flip 5G Smartphone Dimensity 9200,87 747 ₽,,,,,Android 13,12 ГБ,256 ГБ,"6,8""",5 000 мА·ч,
https://www.joom.ru/ru/products/66d14582603ee1019cce2a4c,NUBIA Смартфон REDMAGIC 9S Pro 5G,92 176 ₽,,,,,Android 14.0,16 ГБ,512 ГБ,"6,8""",6 500 мА·ч,
https://www.joom.ru/ru/products/66b2e3016076a0019cd1d3a1,"OPPO Найти X7 Ultra 5G Смартфон 6,78 дюйма Snapdragon 8 Gen 3",89 438 ₽,,,,,Android 14,12 ГБ,256 ГБ,"6,82""",5 000 мА·ч,
